segment_index,from_stop_id,to_stop_id,distance_meters,duration_seconds
0,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,5965691a-b592-4e49-8cb7-cf997fa8b164,706,119
1,5965691a-b592-4e49-8cb7-cf997fa8b164,b953e313-52af-41ea-97cc-4f6b3f37614b,260,27
2,b953e313-52af-41ea-97cc-4f6b3f37614b,84e3df51-1618-4430-9723-e7a58b9532bf,152,17
3,84e3df51-1618-4430-9723-e7a58b9532bf,615f6abf-a1d4-4679-a8dc-140f707e84b5,432,65
4,615f6abf-a1d4-4679-a8dc-140f707e84b5,68a9aef8-ca58-492e-af12-da53fbbe925f,106,19
5,68a9aef8-ca58-492e-af12-da53fbbe925f,fe91e07a-ad9b-4917-a0ea-fc1e7b5628b1,164,25
6,fe91e07a-ad9b-4917-a0ea-fc1e7b5628b1,eb44021a-5557-4142-bdcd-cc946d1e0203,161,27
7,eb44021a-5557-4142-bdcd-cc946d1e0203,2987ba0b-ae93-47b5-854d-37adf49426e3,162,36
8,2987ba0b-ae93-47b5-854d-37adf49426e3,5f3c1dc0-64e2-491c-af6f-4ccd49ef122c,231,85
9,5f3c1dc0-64e2-491c-af6f-4ccd49ef122c,a2dbee05-84fd-4951-9c67-115928124323,315,67
10,a2dbee05-84fd-4951-9c67-115928124323,ad70a020-71d8-47a3-bfc5-be7d0ae182ef,335,59
11,ad70a020-71d8-47a3-bfc5-be7d0ae182ef,e0863f21-315c-4ead-99de-e3f3a0c6f1cc,268,68
12,e0863f21-315c-4ead-99de-e3f3a0c6f1cc,4977f8f4-05c2-4721-90f0-cde4ad5a55da,440,95
13,4977f8f4-05c2-4721-90f0-cde4ad5a55da,a01ee824-2209-4927-8252-532d8c50b9f1,74,21
14,a01ee824-2209-4927-8252-532d8c50b9f1,c3f86f14-5a3d-438d-91c7-d094c3b87ca6,267,57
15,c3f86f14-5a3d-438d-91c7-d094c3b87ca6,37f01e68-57ab-4386-b38a-811e9f6b9a29,235,86
16,37f01e68-57ab-4386-b38a-811e9f6b9a29,17b59b43-c876-4d9c-b1ef-1e14cafee8eb,179,53
17,17b59b43-c876-4d9c-b1ef-1e14cafee8eb,49c6247e-131e-4c0b-968e-665e5f320ba3,275,45
18,49c6247e-131e-4c0b-968e-665e5f320ba3,076c69a1-d116-4350-991f-e18676b95b43,109,18
19,076c69a1-d116-4350-991f-e18676b95b43,64aa846f-36fb-446d-99c4-cd33e19583de,166,24
20,64aa846f-36fb-446d-99c4-cd33e19583de,f32c4dc4-4df2-457f-9b7a-240aa8a48667,200,36
21,f32c4dc4-4df2-457f-9b7a-240aa8a48667,530092c6-9a75-4620-89c7-f0ffe9e8c7c4,146,18
22,530092c6-9a75-4620-89c7-f0ffe9e8c7c4,a1e0a969-63dd-407e-b114-68aa4eaffaeb,153,20
23,a1e0a969-63dd-407e-b114-68aa4eaffaeb,5e91626f-13ea-4af1-a4de-f3e56109a7e0,173,22
24,5e91626f-13ea-4af1-a4de-f3e56109a7e0,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,164,19
25,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,3836cf24-b1b8-46a5-a00c-aa245fd3332d,197,36
26,3836cf24-b1b8-46a5-a00c-aa245fd3332d,84e3df51-1618-4430-9723-e7a58b9532bf,265,36
27,84e3df51-1618-4430-9723-e7a58b9532bf,b953e313-52af-41ea-97cc-4f6b3f37614b,152,23
28,b953e313-52af-41ea-97cc-4f6b3f37614b,5965691a-b592-4e49-8cb7-cf997fa8b164,260,40
29,5965691a-b592-4e49-8cb7-cf997fa8b164,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,691,147
